file.name,peak.number,85.1327_TMAO-d9,180.1216_Cotinine-d3,182.1373_Nicotine-N-oxide-d3,184.0774_F-Phe,216.9548_Bromohypoxanthine,319.1737_Oxcodone-d3,378.1968_Trazodone-d6,392.2248_Quetiapine-d8,415.2447_Risperidone-d4,114.0667_Creatinine,117.0856_Creatinine-d3,130.1093_Metformin,136.1126_Amphetamine,150.1283_MethamphetaminePhentermine_1st,150.1283_MethamphetaminePhentermine_2nd,160.1_Pregabalin interference,160.13_Pregabalin interference,160.1338_Pregabalin_2nd,166.09_Pseudoephedrine interference,166.12_Pseudoephedrine interference,166.1232_Pseudoephedrine,172.1338_Gabapentin,177.1028_Cotinine,"180.1025_3,4-Methylenedioxyamphetamine_2nd",193.0977_Hydroxycotinine,"194.1181_3,4-Methyl​enedioxy​methamphetamine",200.1287_Ecgonine,"208.1338_3,4-Methylenedioxy-N-ethylamphetamine",216.0427_Cl-Tyr,233.1654_Norfentanyl,234.1494_Methylphenidate,240.1155_Bupropion,248.1651_Meperidine,256.0157_Lamotrigine,256.1104_Hydroxybupropion,256.1701_Diphenhydramine,258.0127_37Cl Lamotrigine,266.1657_Mirtazapine,276.13_EDDP surrogate interference,278.16_EDDP surrograte,278.1909_EDDP_1st,278.212_Venlafaxine_2nd,282.07_Nitrazepam surrogate,282.0879_Nitrazepam,285.0795_Diazepam,286.0747_7-Aminoclonazepam,286.1443_Hydromorphone_1st,286.1443_Morphine_2nd,287.0587_Oxazepam_2nd,300.16_Hydrocodone_1st,300.16_Codeine_2nd,301.0744_Temazepam,302.1392_Oxymorphone,306.0816_Sertraline,308.15_Zolpidem surrogate,308.1763_Zolpidem_2nd,308.2014_Benztropine_1st,310.1419_Fluoxetine,310.2171_Methadone,313.1487_Olanzapine,316.0489_Clonazepam,316.1549_Oxycodone,319.1036_Chlorpromazine,321.0198_Lorazepam,325.0449_Lorazepam-d4,328.1549_6-Acetylmorphine_1st,328.1549_Naloxone_2nd,330.1505_Paroxetine,337.228_Fentanyl,342.1705_Naltrexone,353.1349_Cotinine glucuronide,372.1591_Trazodone,376.148_Haloperidol,380.1731_Haloperidol-d4,384.1746_Quetiapine,389.1129_Zopiclone,404.1563_Perphenazine,411.2196_Risperidone,448.1559_Aripiprazole,468.3114_Buprenorphine
20240909_01,1,3103307.155,2841634.691,2996692.211,3710046.715,1095273.149,703301.1935,602601.6864,647139.1543,992717.4175,,6596.839142,306028.1268,Interfered,389633.5974,Interfered,<LOD,,Interfered,,300735.6178,Interfered,245299.5388,97638.45213,175385.6341,153904.5747,243099.3921,101789.232,351136.6678,1880633.414,147074.5174,280108.6854,223748.2275,418740.2378,86171.80796,162549.6236,273795.0524,55554.31891,129482.6105,NPD,57809.72047,456934.5427,154583.3173,59828.70773,Interfered,230920.1069,76446.7041,88086.87087,86078.36812,159256.7918,124808.8594,134481.9646,NPD,94690.03304,75543.08268,68375.68808,253936.1903,157682.6524,196054.4009,489910.5568,200631.7696,95802.37362,130842.0083,55658.54711,NPD,35211.45845,64863.712,Interfered,121126.1742,327820.6511,88986.9514,101640.4771,65623.87182,68980.92144,615116.5105,82609.83865,56610.9152,41470.86748,101898.6958,19988.29063,67589.73367
,2,2447496.078,2477749.504,2780578.449,3858573.255,685755.8529,501416.91,429301.327,437314.2969,572727.8761,97696636.65,2165597.444,,Interfered,Interfered,Interfered,199523.0738,,Interfered,732197.4044,140606.5626,Interfered,,125106.5919,NPD,343155.3025,,1232693.105,Interfered,2009972.045,,,,,NPD,NPD,,NPD,,NPD,,5852.646787,Interfered,,Interfered,<LOD,,<LOD,NPD,<LOD,NPD,6349.727791,NPD,NPD,NPD,NPD,Interfered,,<LOD,NPD,NPD,NPD,,NPD,,43913.48204,Interfered,<LOD,<LOD,,,72106.97594,<LOD,,432972.5892,,NPD,NPD,<LOD,,<LOD
,3,2909803.223,3063205.7,2776090.871,3843027.34,656817.9312,483115.7725,402278.7023,501737.5771,552425.3291,102112624,2284086.355,,Interfered,Interfered,Interfered,219713.2329,,Interfered,1107420.951,119649.1914,Interfered,,195237.8298,NPD,445608.2361,,1398081.027,Interfered,2039574.914,,,NPD,,NPD,Interfered,NPD,NPD,,223471.7598,,NPD,,<LOD,Interfered,<LOD,NPD,,Interfered,NPD,,NPD,NPD,Interfered,NPD,,Interfered,Interfered,,NPD,NPD,,NPD,,NPD,51967.76849,NPD,NPD,NPD,<LOD,,77072.76685,,,433668.5088,,<LOD,,,,NPD
,4,2715697.537,3196916.706,2860535.292,3874954.296,694475.8887,548532.1801,417276.5053,456111.203,459064.4526,104431717.7,2322673.6,,Interfered,Interfered,,228740.825,,Interfered,1124265.023,129406.3898,Interfered,,158658.6258,NPD,377004.955,,1214535.096,,2041715.141,,NPD,,NPD,,Interfered,,,,195022.5721,,Interfered,Interfered,,NPD,,<LOD,,Interfered,<LOD,,NPD,NPD,Interfered,NPD,NPD,Interfered,Interfered,,NPD,NPD,,,,NPD,48578.88171,NPD,NPD,NPD,<LOD,,82031.52925,,NPD,438858.0502,NPD,<LOD,,NPD,,NPD
,5,2633725.572,3226689.002,2830869.172,3929612.911,716262.1478,561725.264,432406.2391,416173.0324,459801.2534,101162087,2236634.98,,,NPD,Interfered,223594.9768,,36303.71283,1127858.473,136508.6768,NPD,,162654.5978,NPD,439199.8877,,1442616.123,<LOD,2017262.777,,<LOD,,NPD,,,,NPD,NPD,203397.3165,NPD,4812.923264,Interfered,<LOD,,,NPD,,Interfered,<LOD,NPD,NPD,<LOD,108261.9232,,NPD,Interfered,Interfered,,,<LOD,NPD,,<LOD,,NPD,<LOD,NPD,,<LOD,<LOD,71482.55641,,,494771.9695,NPD,NPD,,,,NPD
,6,2404062.586,3267179.781,2762640.19,3725539.548,666368.8876,546869.0142,425282.8058,423235.6267,615487.0444,94778079.98,2069686.889,,,Interfered,Interfered,198934.3011,,39457.2624,789030.6621,119576.4895,NPD,,167577.4236,,366083.1924,,1334387.904,<LOD,1959086.396,,,NPD,,,,,,NPD,NPD,Interfered,Interfered,Interfered,,,<LOD,,,Interfered,,NPD,,NPD,NPD,NPD,,Interfered,Interfered,,,<LOD,,,NPD,,51077.18869,,NPD,NPD,NPD,<LOD,62721.46889,<LOD,NPD,475820.3479,NPD,,,,<LOD,<LOD
,7,2413855.065,2902228.233,2459104.364,3557977.111,645140.5937,515292.7459,406643.5383,430490.0445,555002.2442,91939059.34,2029634.592,,NPD,Interfered,Interfered,192053.0192,,38495.50413,676488.2709,107925.938,NPD,,146515.7454,,336149.0561,,1131094.855,,1842552.295,,,,,,,,NPD,,NPD,,Interfered,Interfered,NPD,NPD,,,,Interfered,<LOD,NPD,,NPD,NPD,NPD,,Interfered,Interfered,,,<LOD,<LOD,,,,66396.11485,,NPD,NPD,<LOD,<LOD,69242.91799,,,429203.9018,,,,<LOD,NPD,
,8,2362116.677,2816743.125,2450778.073,3702003.608,724324.6643,548371.4512,409961.1152,395833.7077,715627.8045,113731717.9,2522822.71,,,Interfered,Interfered,188710.9416,,50719.22365,669234.2057,97501.74711,NPD,,153289.8826,,313265.3535,,1135679.899,NPD,1794128.421,,<LOD,,,NPD,NPD,,,,78267.76419,,Interfered,Interfered,,NPD,NPD,,,NPD,,NPD,,NPD,NPD,,<LOD,Interfered,Interfered,,,<LOD,,,<LOD,<LOD,56092.6593,<LOD,,,NPD,<LOD,59651.49602,,,449183.5186,,NPD,<LOD,,NPD,
,9,2397206.954,2662420.955,2432364.723,3564995.423,684486.8275,591340.04,388271.5899,334470.7407,754426.2267,110386898.7,2428916.91,,NPD,Interfered,Interfered,191765.5664,,47382.20601,688880.3544,422445.8311,NPD,NPD,150779.0943,,296664.8412,,1160850.203,,1738807.014,,NPD,<LOD,,,,,NPD,,69618.44642,Interfered,Interfered,Interfered,,Interfered,<LOD,Interfered,,,,NPD,,NPD,NPD,,<LOD,Interfered,Interfered,NPD,,,,,NPD,NPD,58071.67014,NPD,,NPD,,<LOD,82611.41087,,,427784.6421,NPD,<LOD,<LOD,,NPD,
,10,2872619.665,2674579.093,2470716.547,3317882.495,684812.5945,566752.7576,388426.7083,348499.2915,867524.8148,104023920,2291635.074,,,Interfered,Interfered,199382.0105,,44820.53051,688534.8945,428026.6021,NPD,,127511.9722,,317142.1567,,1215152.206,NPD,1804752.871,,NPD,NPD,,,NPD,,,<LOD,74552.40438,,Interfered,Interfered,<LOD,NPD,NPD,,,Interfered,<LOD,NPD,,,NPD,<LOD,NPD,Interfered,Interfered,,,,NPD,,NPD,,52213.61671,NPD,,<LOD,<LOD,,64807.07331,NPD,,458239.5833,,NPD,NPD,<LOD,<LOD,NPD
